id,salary_in_usd
0,192040.75337730497
1,202598.33135134133
2,162840.97736606968
3,188903.8378742091
4,162840.97736606968
5,188903.8378742091
6,208624.84875312203
7,162840.97736606968
8,199573.58066170203
9,196068.1095049372
10,199573.58066170203
11,208624.84875312203
12,188928.65052349376
13,199573.58066170203
14,188928.65052349376
15,199573.58066170203
16,196068.1095049372
17,196068.1095049372
18,193296.21392569045
19,188928.65052349376
20,162840.97736606968
21,162840.97736606968
22,208624.84875312203
23,193296.21392569045
24,188928.65052349376
25,193296.21392569045
26,192040.75337730497
27,196764.4671569182
28,199573.58066170203
29,202598.33135134133
30,188211.78642957576
31,196068.1095049372
32,193296.21392569045
33,188928.65052349376
34,188928.65052349376
35,199573.58066170203
36,188928.65052349376
37,192040.75337730497
38,188928.65052349376
39,202598.33135134133
40,188928.65052349376
41,196068.1095049372
42,162840.97736606968
43,208624.84875312203
44,199573.58066170203
45,202598.33135134133
46,188903.8378742091
47,188928.65052349376
48,196068.1095049372
49,188928.65052349376
50,208624.84875312203
51,196068.1095049372
52,192040.75337730497
53,188928.65052349376
54,137713.5080904587
55,188903.8378742091
56,199573.58066170203
57,140507.08322750212
58,140507.08322750212
59,188928.65052349376
60,140507.08322750212
61,193296.21392569045
62,188928.65052349376
63,188903.8378742091
64,188903.8378742091
65,193296.21392569045
66,193296.21392569045
67,188928.65052349376
68,137713.5080904587
69,188903.8378742091
70,192040.75337730497
71,196068.1095049372
72,137713.5080904587
73,188928.65052349376
74,196068.1095049372
75,188903.8378742091
76,188928.65052349376
77,188928.65052349376
78,188903.8378742091
79,196068.1095049372
80,193296.21392569045
81,208624.84875312203
82,202598.33135134133
83,208624.84875312203
84,140507.08322750212
85,192040.75337730497
86,192040.75337730497
87,199573.58066170203
88,188928.65052349376
89,199573.58066170203
90,193296.21392569045
91,208624.84875312203
92,208624.84875312203
93,208624.84875312203
94,188928.65052349376
95,208624.84875312203
96,188928.65052349376
97,199573.58066170203
98,137713.5080904587
99,188903.8378742091
100,188928.65052349376
101,140507.08322750212
102,140507.08322750212
103,193296.21392569045
104,199573.58066170203
105,137713.5080904587
106,137713.5080904587
