iter	RMSE
0	69789.3273
1	68729.3175
2	67850.75522
3	66914.73172
4	66025.28027
5	64975.70094
6	64136.07461
7	63249.99848
8	62475.46489
9	61693.66475
10	60949.4664
11	60175.85246
12	59540.73162
13	58774.49237
14	58214.40637
15	57526.60657
16	56872.65275
17	56330.78069
18	55698.96789
19	55281.69217
20	54724.778
21	54246.05823
22	53777.98509
23	53288.68109
24	52934.57691
25	52533.1705
26	52259.28841
27	51802.13126
28	51452.64892
29	51018.05142
30	50640.15823
31	50300.30471
32	50036.85023
33	49767.41062
34	49487.3606
35	49198.55755
36	48951.94801
37	48629.33195
38	48469.25668
39	48239.9438
40	47994.63325
41	47780.92422
42	47571.47729
43	47382.94898
44	47292.21254
45	47159.01821
46	46958.68891
47	46823.99053
48	46663.8461
49	46445.6365
50	46289.23951
51	46133.10256
52	45982.39521
53	45826.1377
54	45722.67796
55	45622.12316
56	45485.67464
57	45401.17129
58	45255.74428
59	45150.48964
60	45068.60883
61	44924.10667
62	44833.25227
63	44749.95191
64	44684.12684
65	44611.64368
66	44561.65304
67	44468.4285
68	44381.89672
69	44320.89605
70	44239.09442
71	44151.43588
72	44090.01083
73	44025.16302
74	43945.80266
75	43883.0241
76	43807.5658
77	43754.32243
78	43685.19588
79	43630.50917
80	43588.17562
81	43554.41381
82	43505.80989
83	43466.16362
84	43432.76987
85	43387.51625
86	43370.99589
87	43313.83493
88	43261.84233
89	43224.82641
90	43189.04569
91	43157.16576
92	43131.58371
93	43089.16675
94	43052.57689
95	43000.56242
96	42971.23322
97	42918.63059
98	42883.12554
99	42841.34542
100	42799.66799
101	42751.04461
102	42730.55764
103	42699.18603
104	42692.2629
105	42669.83973
106	42611.54067
107	42587.33865
108	42567.13385
109	42527.38579
110	42499.20527
111	42444.71897
112	42409.95111
113	42379.29433
114	42357.6131
115	42330.2124
116	42313.00499
117	42269.76076
118	42226.51974
119	42215.13773
120	42179.00811
121	42157.28471
122	42141.71266
123	42127.96366
124	42110.9174
125	42089.99894
126	42074.59189
127	42067.31133
128	42050.22154
129	42031.6904
130	42016.82002
131	42000.41859
132	41979.60375
133	41959.92001
134	41950.2575
135	41937.45835
136	41932.6185
137	41919.40735
138	41897.76501
139	41893.80187
140	41892.05675
141	41870.35015
142	41849.1881
143	41835.56331
144	41832.81357
145	41825.13612
146	41802.2803
147	41786.11394
148	41774.78596
149	41761.32657
150	41753.34765
151	41743.20791
152	41721.32328
153	41717.19205
154	41712.14686
155	41695.3613
156	41687.68386
157	41660.44254
158	41644.51169
159	41637.39126
160	41631.48728
161	41600.81519
162	41587.82698
163	41575.66131
164	41567.67853
165	41542.0289
166	41539.59826
167	41531.48158
168	41525.78883
169	41510.53754
170	41504.54794
171	41485.57195
172	41465.58685
173	41444.76962
174	41418.4041
175	41398.66392
176	41384.86499
177	41367.61392
178	41352.69911
179	41337.31408
180	41318.7512
181	41312.74929
182	41297.74354
183	41274.70811
184	41256.85843
185	41247.66255
186	41228.34244
187	41211.26764
188	41190.20892
189	41182.55845
190	41176.9619
191	41158.39401
192	41147.70781
193	41138.87
194	41127.91286
195	41120.56023
196	41105.06909
197	41105.0376
198	41086.17777
199	41068.44795
200	41063.00335
201	41059.64619
202	41042.41208
203	41030.83451
204	41022.83036
205	41015.28677
206	40994.18484
207	40988.34109
208	40984.65526
209	40971.81323
210	40964.68513
211	40949.96138
212	40932.73377
213	40926.77863
214	40912.87666
215	40905.97741
216	40888.56687
217	40885.2514
218	40876.53726
219	40867.74263
220	40860.02718
221	40853.68579
222	40844.36027
223	40838.19339
224	40835.65236
225	40829.06633
226	40816.60767
227	40801.42906
228	40793.88317
229	40779.09762
230	40773.67227
231	40756.99702
232	40742.03307
233	40735.0235
234	40721.02241
235	40714.14341
236	40712.1948
237	40696.83162
238	40690.75087
239	40687.02423
240	40684.81735
241	40682.61096
242	40677.14638
243	40662.32992
244	40659.86518
245	40651.98207
246	40641.00574
247	40636.09763
248	40629.81819
249	40627.01406
250	40623.166
251	40616.6683
252	40611.27914
253	40608.6274
254	40606.78375
255	40596.46204
256	40594.70725
257	40585.79122
258	40579.83569
259	40573.04532
260	40567.43505
261	40565.43125
262	40552.86162
263	40544.17826
264	40537.58597
265	40536.02872
266	40532.80317
267	40529.76575
268	40521.93952
269	40516.66033
270	40514.86556
271	40512.32674
272	40499.22899
273	40494.78284
274	40490.25481
275	40485.02497
276	40482.72869
277	40477.27689
278	40471.79818
279	40470.15158
280	40461.47898
281	40459.04715
282	40454.39612
283	40452.30535
284	40441.55993
285	40440.20057
286	40433.83285
