iter	Passed	Remaining
0	25	25312
1	27	13959
2	30	10103
3	32	8214
4	36	7194
5	38	6382
6	41	5818
7	42	5289
8	44	4890
9	45	4507
10	46	4197
11	48	3974
12	49	3757
13	50	3574
14	51	3383
15	52	3242
16	53	3122
17	54	2995
18	55	2886
19	56	2770
20	57	2682
21	58	2600
22	59	2522
23	60	2446
24	61	2380
25	61	2321
26	62	2262
27	63	2207
28	64	2156
29	65	2107
30	65	2055
31	66	2010
32	67	1969
33	67	1928
34	68	1890
35	69	1853
36	69	1819
37	70	1787
38	70	1748
39	71	1716
40	72	1685
41	72	1657
42	73	1626
43	73	1600
44	73	1569
45	74	1546
46	75	1523
47	75	1502
48	76	1481
49	76	1461
50	77	1442
51	78	1423
52	78	1405
53	79	1387
54	79	1368
55	80	1351
56	80	1333
57	81	1316
58	81	1301
59	82	1286
60	82	1272
61	83	1259
62	83	1245
63	84	1233
64	84	1220
65	85	1208
66	85	1193
67	86	1181
68	86	1170
69	87	1158
70	87	1147
71	88	1137
72	88	1128
73	89	1120
74	90	1112
75	90	1103
76	91	1093
77	91	1085
78	92	1076
79	92	1068
80	93	1059
81	94	1052
82	94	1044
83	94	1035
84	95	1026
85	95	1019
86	96	1008
87	96	1001
88	97	994
89	97	988
90	98	981
91	98	975
92	99	967
93	99	961
94	100	955
95	100	950
96	101	944
97	101	938
98	102	933
99	103	928
100	103	923
101	104	918
102	104	912
103	105	907
104	105	900
105	106	895
106	106	890
107	107	885
108	107	880
109	108	875
110	108	871
111	109	867
112	109	862
113	110	858
114	111	854
115	111	850
116	112	846
117	112	842
118	113	838
119	113	835
120	114	831
121	115	828
122	115	824
123	116	820
124	116	817
125	117	813
126	117	810
127	118	805
128	118	801
129	119	798
130	119	795
131	120	792
132	120	788
133	121	785
134	122	782
135	122	778
136	122	774
137	123	771
138	124	768
139	124	764
140	124	759
141	125	756
142	125	753
143	126	749
144	126	745
145	126	742
146	127	739
147	127	736
148	128	733
149	129	731
150	129	727
151	129	725
152	130	722
153	130	718
154	131	714
155	131	712
156	132	710
157	132	708
158	133	705
159	133	703
160	134	701
161	135	698
162	135	696
163	136	694
164	136	691
165	137	689
166	137	685
167	138	683
168	138	680
169	138	678
170	139	676
171	140	674
172	140	672
173	141	669
174	141	667
175	142	665
176	142	663
177	143	661
178	143	659
179	144	657
180	144	655
181	145	652
182	145	651
183	146	649
184	147	648
185	147	646
186	148	644
187	148	642
188	149	640
189	149	638
190	150	636
191	150	634
192	151	633
193	151	631
194	152	629
195	153	627
196	153	626
197	153	623
198	154	621
199	154	619
200	155	618
201	155	615
202	156	614
203	156	612
204	157	610
205	158	609
206	158	607
207	159	605
208	159	604
209	160	603
210	160	601
211	161	600
212	162	598
213	162	597
214	163	595
215	163	594
216	164	592
217	164	590
218	165	588
219	165	587
220	166	585
221	166	584
222	167	582
223	167	581
224	168	578
225	168	577
226	169	576
227	169	574
228	170	573
229	170	571
230	171	570
231	171	569
232	172	567
233	173	566
234	173	565
235	174	564
236	174	562
237	175	560
238	175	559
239	176	558
240	176	556
241	177	554
242	177	553
243	178	551
244	178	550
245	179	548
246	179	547
247	180	546
248	180	544
249	181	543
250	181	542
251	182	541
252	182	539
253	183	538
254	183	536
255	184	535
256	184	533
257	185	532
258	185	531
259	186	530
260	186	528
261	187	527
262	187	526
263	188	525
264	189	524
265	189	522
266	190	521
267	190	520
268	191	519
269	191	518
270	192	517
271	192	515
272	193	514
273	193	513
274	194	512
275	194	511
276	195	510
277	196	509
278	196	507
279	197	506
280	197	505
281	198	504
282	198	503
283	199	502
284	199	501
285	200	500
286	200	499
287	201	498
288	202	497
289	202	496
290	203	495
291	203	493
292	204	492
293	204	491
294	205	490
295	205	489
296	206	488
297	206	487
298	207	486
299	208	485
300	208	484
301	209	483
302	209	482
303	210	481
304	210	479
305	211	478
306	211	477
307	212	476
308	212	475
309	213	474
310	213	473
311	214	472
312	214	471
313	215	470
314	216	469
315	216	468
316	217	467
317	217	467
318	218	466
319	218	465
320	219	464
321	219	463
322	220	462
323	221	461
324	221	460
325	222	459
326	222	458
327	223	457
328	223	456
329	224	455
330	224	454
331	225	453
332	225	451
333	226	451
334	226	450
335	227	449
336	227	448
337	228	447
338	228	446
339	229	445
340	229	443
341	230	442
342	230	442
343	231	441
344	232	440
345	232	439
346	233	438
347	233	437
348	234	436
349	234	435
350	235	435
351	235	434
352	236	433
353	236	432
354	237	431
355	237	430
356	238	429
357	239	428
358	239	427
359	240	426
360	240	425
361	241	425
362	241	424
363	242	423
364	242	422
365	243	421
366	243	420
367	244	419
368	245	419
369	245	418
370	246	417
371	246	416
372	247	415
373	247	414
374	248	413
375	248	413
376	249	412
377	250	411
378	250	410
379	251	409
380	251	408
381	252	407
382	252	406
383	253	405
384	253	405
385	254	404
386	254	403
387	255	402
388	255	401
389	256	400
390	256	400
391	257	399
392	257	398
393	258	397
394	259	396
395	259	396
396	260	395
397	260	394
398	261	393
399	262	393
400	262	392
401	263	391
402	263	390
403	264	389
404	264	388
405	265	388
406	265	387
407	266	386
408	266	385
409	267	384
410	267	383
411	268	383
412	268	382
413	269	381
414	269	380
415	270	379
416	271	378
417	271	378
418	272	377
419	272	376
420	273	375
421	273	375
422	274	374
423	275	373
424	275	372
425	276	372
426	276	371
427	277	370
428	277	369
429	278	368
430	278	368
431	279	367
432	279	366
433	280	365
434	281	365
435	281	364
436	282	363
437	282	362
438	283	361
439	283	361
440	284	360
441	284	359
442	285	358
443	285	357
444	286	357
445	286	356
446	287	355
447	288	354
448	288	354
449	289	353
450	289	352
451	290	351
452	290	350
453	291	350
454	291	349
455	292	348
456	292	347
457	293	346
458	293	346
459	294	345
460	294	344
461	295	343
462	295	342
463	296	342
464	296	341
465	297	340
466	297	339
467	298	338
468	298	338
469	298	337
470	299	336
471	300	335
472	300	334
473	301	334
474	301	333
475	302	332
476	303	332
477	303	331
478	304	330
479	304	329
480	305	329
481	305	328
482	306	327
483	306	326
484	307	326
485	307	325
486	308	324
487	308	323
488	309	323
489	309	322
490	310	321
491	310	321
492	311	320
493	311	319
